,URL,ville,code postal,adresse,prix £,surface m2,Enchère ou vente,Etat neuf ou ancien,Nombre de chambres,Nombre de SDB,Nombre de séjour,Description,Type bien,Aide
100,https://www.zoopla.co.uk//for-sale/details/54181538,Hornchurch,RM11,"Essex Gardens, Hornchurch RM11",450000,NA,vente,A,3,NA,NA,3 bed semi-detached house for sale,Maison,NA
101,https://www.zoopla.co.uk//for-sale/details/54181506,Londres,W9,"Wymering Mansions, Wymering Road, London W9",880000,NA,vente,A,3,2,2,3 bed flat for sale,Appartement,NA
102,https://www.zoopla.co.uk//for-sale/details/54181516,Londres,NW5,"St. Albans Road, Dartmouth Park, London NW5",500000,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
103,https://www.zoopla.co.uk//for-sale/details/54181469,Londres,SW8,"Hebden Place, Nine Elms, London SW8",890000,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
104,https://www.zoopla.co.uk//new-homes/details/54181471,Londres,E1,"Dock Street, London E1",680000,NA,vente,N,2,2,1,2 bed flat for sale,Appartement,NA
105,https://www.zoopla.co.uk//new-homes/details/54181417,Londres,E1,"Luxe Tower, London E1",550000,NA,vente,N,1,1,1,1 bed flat for sale,Appartement,Help to buy
106,https://www.zoopla.co.uk//for-sale/details/54181376,Londres,NW4,"Albert Road, London NW4",680000,NA,vente,A,4,1,NA,4 bed terraced house for sale,Maison,NA
107,https://www.zoopla.co.uk//for-sale/details/54181374,Londres,E2,"Canrobert Street, London E2",485000,71,vente,A,3,1,1,3 bed flat for sale,Appartement,NA
108,https://www.zoopla.co.uk//for-sale/details/54181363,Londres,SW9,"Clapham Road, London SW9",1600000,NA,vente,A,5,3,2,5 bed property for sale,Maison avec jardin,NA
109,https://www.zoopla.co.uk//for-sale/details/54181373,Londres,N1,"Elizabeth Avenue, Islington N1",450000,49.981814,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
110,https://www.zoopla.co.uk//for-sale/details/54181331,Horseferry Road,SW1P,"The Courthouse, Horseferry Road SW1P",2230000,NA,vente,A,3,2,1,3 bed flat for sale,Appartement,NA
111,https://www.zoopla.co.uk//for-sale/details/54181290,Londres,SE20,"Ridsdale Road, London SE20",110000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
112,https://www.zoopla.co.uk//for-sale/details/54181292,Londres,SE20,"William Booth Road, London SE20",320000,NA,vente,A,1,1,1,1 bed end terrace house for sale,Maison,NA
113,https://www.zoopla.co.uk//for-sale/details/54181273,Londres,SW17,"Cowick Road, London SW17",525000,NA,vente,A,2,1,1,2 bed terraced house for sale,Maison,NA
114,https://www.zoopla.co.uk//for-sale/details/54181276,Londres,W4,"British Grove South, London W4",395000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
115,https://www.zoopla.co.uk//for-sale/details/54181284,Londres,SE25,"Crowther Road, London SE25",475000,NA,vente,A,3,2,2,3 bed semi-detached house for sale,Maison,NA
116,https://www.zoopla.co.uk//for-sale/details/54181260,Londres,SW4,"Clapham Park Road, London SW4",159250,NA,vente,A,1,1,NA,1 bed flat for sale,Appartement,NA
117,https://www.zoopla.co.uk//for-sale/details/54181253,London,TW9,"Richmond, London TW9",399950,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
118,https://www.zoopla.co.uk//for-sale/details/54181202,Londres,SW6,"Kings Road, London SW6",1250000,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
