,URL,ville,code postal,prix £,surface m2,Enchère ou vente,Etat neuf ou ancien,Nombre de chambres,Nombre de SDB,Nombre de séjour,Description,Type bien,Aide,adresse
96,https://www.zoopla.co.uk//for-sale/details/54182633,Londres,SE4,800000,NA,vente,A,3,1,3,3 bed terraced house for sale,Maison,NA,"Chudleigh Road, London SE4"
97,https://www.zoopla.co.uk//for-sale/details/54182636,Londres,SE14,1450000,NA,vente,A,4,2,3,4 bed semi-detached house for sale,Maison,NA,"Jerningham Road, London SE14"
98,https://www.zoopla.co.uk//for-sale/details/50978205,Southall,UB2,400000,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA,"West Park Road, Southall UB2"
99,https://www.zoopla.co.uk//for-sale/details/54182628,Edgware,HA8,575000,NA,vente,A,3,1,1,3 bed semi-detached house for sale,Maison,NA,"Wychwood Close, Edgware HA8"
100,https://www.zoopla.co.uk//for-sale/details/54185140,Londres,SW13,1350000,NA,vente,A,3,2,2,3 bed property for sale,Maison avec jardin,NA,"Stanton Road, Barnes, London SW13"
101,https://www.zoopla.co.uk//for-sale/details/54185088,London,WC1B,550000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA,"Southampton Row, London WC1B"
102,https://www.zoopla.co.uk//for-sale/details/54185054,NA,KT3,650000,NA,vente,A,3,1,2,3 bed detached house for sale,Maison,NA,"New Malden, Surrey KT3"
103,https://www.zoopla.co.uk//for-sale/details/54185033,Londres,NW7,725000,NA,vente,A,4,3,2,4 bed end terrace house for sale,Maison,NA,"Bampton Drive, Mill Hill, London NW7"
104,https://www.zoopla.co.uk//for-sale/details/51951416, Edgware,HA8,300000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA,"Brunel Court, 201 Green Lane, Edgware, Middlesex HA8"
105,https://www.zoopla.co.uk//for-sale/details/52524124,Londres,N8,549950,NA,vente,A,3,1,1,3 bed flat for sale,Appartement,NA,"North View Road, London N8"
106,https://www.zoopla.co.uk//for-sale/details/54184987,London,W1U,3695000,NA,vente,A,3,NA,NA,3 bed flat for sale,Appartement,NA,"Nottingham Place, Marylebone, London W1U"
107,https://www.zoopla.co.uk//for-sale/details/54184988,Londres,W10,1450000,NA,vente,A,2,2,1,2 bed property for sale,Maison avec jardin,NA,"Oxford Gardens, London W10"
108,https://www.zoopla.co.uk//for-sale/details/54184991,Londres,W10,350000,NA,vente,A,1,1,1,1 bed property for sale,Maison avec jardin,NA,"Oxford Gardens, London W10"
109,https://www.zoopla.co.uk//for-sale/details/54184980,Londres,W8,1500000,NA,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA,"Palace Gardens Terrace, London W8"
110,https://www.zoopla.co.uk//new-homes/details/54184962,London,W1U,7150000,NA,vente,N,3,NA,NA,3 bed flat for sale,Appartement,NA,"The Mansion, 9 Marylebone Lane, London W1U"
111,https://www.zoopla.co.uk//new-homes/details/54184960, Erith,DA8,490000,NA,vente,N,3,NA,NA,3 bed semi-detached house for sale,Maison,Help to buy,"Egerton Place - Houses, Off Richmer Road, Erith, Kent DA8"
112,https://www.zoopla.co.uk//new-homes/details/54184959, Erith,DA8,475000,NA,vente,N,3,NA,NA,3 bed end terrace house for sale,Maison,Help to buy,"Egerton Place, Off Richmer Road, Erith, Kent DA8"
113,https://www.zoopla.co.uk//for-sale/details/54184925,United Kingdom,IG11,450000,NA,vente,A,3,1,1,3 bed terraced house for sale,Maison,NA,"Barking, Essex, United Kingdom IG11"
114,https://www.zoopla.co.uk//for-sale/details/54184926,United Kingdom,RM8,325000,NA,vente,A,2,1,2,2 bed end terrace house for sale,Maison,NA,"Dagenham, Essex, United Kingdom RM8"
115,https://www.zoopla.co.uk//for-sale/details/54184911,Londres,SE1,590000,44.686343,vente,A,1,1,1,1 bed flat for sale,Appartement,NA,"West Block, County Hall Apartments, Waterloo, London SE1"
116,https://www.zoopla.co.uk//for-sale/details/54184902,Londres,NW9,650000,NA,vente,A,4,NA,NA,4 bed semi-detached house for sale,Maison,NA,"Briarwood Close, Kingsbury, London, Uk NW9"
117,https://www.zoopla.co.uk//new-homes/details/54184893,Londres,SW6,2075000,NA,vente,N,3,NA,NA,3 bed flat for sale,Appartement,NA,"Lillie Square, London SW61Ue SW6"
118,https://www.zoopla.co.uk//for-sale/details/54184886,Londres,E1,500000,NA,vente,A,1,NA,NA,1 bed flat for sale,Appartement,NA,"Colefax Building, 23 Plumbers Row, London E1"
119,https://www.zoopla.co.uk//for-sale/details/54184879,Londres,E17,650000,NA,vente,A,3,NA,NA,3 bed terraced house for sale,Maison,NA,"Roma Road, Walthamstow, London E17"
120,https://www.zoopla.co.uk//for-sale/details/54184880,Londres,E17,565000,NA,vente,A,2,NA,NA,2 bed terraced house for sale,Maison,NA,"Woodville Road, Walthamstow, London E17"
121,https://www.zoopla.co.uk//for-sale/details/54184881,Londres,E17,625000,NA,vente,A,2,NA,NA,2 bed terraced house for sale,Maison,NA,"Parkhurst Road, Walthamstow, London E17"
122,https://www.zoopla.co.uk//for-sale/details/51875160,Londres,SE1,1400000,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA,"Tudor House, One Tower Bridge, London SE1"
123,https://www.zoopla.co.uk//for-sale/details/47815369,Londres,E14,1250000,NA,vente,A,3,2,1,3 bed flat for sale,Appartement,NA,"Dollar Bay Point, 3 Dollar Bay Place E14"
124,https://www.zoopla.co.uk//new-homes/details/51875617,Londres,E14,590000,45.150858,vente,N,NA,1,1,Studio for sale,Studio,NA,"South Quay Plaza, South Quay, Canary Wharf, London E14"
125,https://www.zoopla.co.uk//for-sale/details/54184817,Londres,SW2,550000,NA,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA,"Bailey Mews, London SW2"
126,https://www.zoopla.co.uk//for-sale/details/54184799,Londres,NW6,975000,NA,vente,A,3,NA,NA,3 bed flat for sale,Appartement,NA,"Compayne Gardens, London NW6"
127,https://www.zoopla.co.uk//for-sale/details/54184809,Greater London,TW14,425000,NA,vente,A,3,NA,NA,3 bed semi-detached house for sale,Maison,NA,"Colonial Road, Feltham, Greater London TW14"
128,https://www.zoopla.co.uk//for-sale/details/52920013,Londres,W3,1250000,NA,vente,A,3,2,3,3 bed semi-detached house for sale,Maison,NA,"Mill Hill Road, Acton W3"
129,https://www.zoopla.co.uk//for-sale/details/54184763,Carshalton,SM5,500000,NA,vente,A,4,1,2,4 bed semi-detached house for sale,Maison,NA,"Culvers Way, Carshalton SM5"
130,https://www.zoopla.co.uk//for-sale/details/54184757,Ruislip,HA4,500000,92.438485,vente,A,3,1,2,3 bed semi-detached house for sale,Maison,NA,"Torcross Road, Ruislip HA4"
131,https://www.zoopla.co.uk//for-sale/details/54184756,Londres,E12,200000,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA,"Sheringham Avenue, Manor Park, London E12"
132,https://www.zoopla.co.uk//for-sale/details/54184754,Ruislip,HA4,500000,92.438485,vente,A,3,1,2,3 bed semi-detached house for sale,Maison,NA,"Torcross Road, Ruislip HA4"
133,https://www.zoopla.co.uk//for-sale/details/54184744,Londres,NW9,339950,NA,vente,A,3,NA,NA,3 bed flat for sale,Appartement,NA,"Rushgrove Avenue, London NW9"
134,https://www.zoopla.co.uk//for-sale/details/54184701,Greater London,TW8,175000,NA,vente,A,1,NA,NA,1 bed flat for sale,Appartement,NA,"Jantzen House, Ealing Road, Brentford, Greater London TW8"
135,https://www.zoopla.co.uk//for-sale/details/54184627,Londres,SW10,1075000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA,"Hollywood Road, Chelsea, London SW10"
136,https://www.zoopla.co.uk//new-homes/details/54184621,Londres,SW11,1250000,NA,vente,N,2,2,NA,2 bed flat for sale,Appartement,NA,"Prince Of Wales Drive, Battersea Power Station, London SW11"
137,https://www.zoopla.co.uk//for-sale/details/54184613,Londres,E7,775000,NA,vente,A,5,3,2,5 bed property for sale,Maison avec jardin,NA,"Margery Terrace, Forest Gate, London E7"
138,https://www.zoopla.co.uk//for-sale/details/54184542,Londres,NW3,1085000,108,vente,A,2,2,1,2 bed flat for sale,Appartement,NA,"Garden Flat, Fitzjohns Avenue, Hampstead NW3"
139,https://www.zoopla.co.uk//for-sale/details/54184497,London,SW1X,11900000,NA,vente,A,4,3,3,4 bed detached house for sale,Maison,NA,"Eaton Mews North, London SW1X"
140,https://www.zoopla.co.uk//for-sale/details/54184499,Londres,NW3,329000,NA,vente,A,NA,1,1,Studio for sale,Studio,NA,"Frognal, Hampstead, London NW3"
141,https://www.zoopla.co.uk//for-sale/details/54184479,Londres,E14,400000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA,"Cold Harbour, Isle Of Dogs, London E14"
142,https://www.zoopla.co.uk//for-sale/details/54184465,Londres,W5,625000,NA,vente,A,3,1,2,3 bed terraced house for sale,Maison,NA,"St Pauls Close, Ealing Common, London W5"
143,https://www.zoopla.co.uk//for-sale/details/54184468,Londres,SW7,995000,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA,"Gloucester Road, South Kensington, London SW7"
144,https://www.zoopla.co.uk//for-sale/details/54184466,Londres,SW5,1500000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA,"Bladon Lodge, Boltons Place, South Kensington, London SW5"
145,https://www.zoopla.co.uk//for-sale/details/54184458,Londres,E8,1075000,NA,vente,A,3,3,1,3 bed property for sale,Maison avec jardin,NA,"Chester Crescent, Dalston, London E8"
